Book Name,Rating,Price,Author Name_A.C. Bhaktivendanta Swami Prabhupada,Author Name_AKHIL P DHARMAJAN,Author Name_Aditya Ranjan Sir,Author Name_Alex Michaelides,Author Name_Binay Karna,Author Name_Chetan Bhagat,Author Name_Chitra Banerjee Divakaruni,Author Name_Dale Carnegie,"Author Name_Dr. parul Goel Ranjan , Abhshek Gupta",Author Name_Francesc Miralles,Author Name_Gagan Pratap Sir,Author Name_Ichiro Kishimi and Fumitake Koga,Author Name_James Clear,Author Name_Joseph Murphy,Author Name_Joseph Nguyen,Author Name_KVS Madaan,Author Name_Kiran Institute of Career Excellence,Author Name_Library Mindset,Author Name_M Laxmikanth,Author Name_MTG Editorial Board,Author Name_Maple Press,Author Name_Morgan Housel,Author Name_Murty Sudha,Author Name_Nikhil Gupta,Author Name_Norman Lewis,Author Name_Oswaal Editorial Board,Author Name_Paul G. Hewitt,Author Name_Prashant Kirad,Author Name_Prerna Kain Srishti Agarwal,Author Name_R. S Aggarwal,Author Name_R.D. Sharma,Author Name_Robert T. Kiyosaki,Author Name_Sachin Jakhar,Author Name_Sank Magic,Author Name_Sudha Murty,Author Name_Susmita Dhar Kriti Arora,Author Name_Team Pegasus,Author Name_Tirth Raj Parsana,Author Name_Wonder House Books
Maths Concept King All Formulas and Theorum | Smart Tricks | Arithmetic & Advance Maths,1.2719974560076337,-0.4102704872906218,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BlackBook of English Vocabulary May 2024 by Nikhil Gupta,0.21199957600127228,-0.14173078120841867,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Atomic Habits : the life-changing million-copy #1 bestseller,0.7419985160044505,0.6504613517340806,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
My First Library: Boxset of 10 Board Books for Kids [Board book] Wonder House Books,0.21199957600127228,0.30583539559525325,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Lucent General Knowledge - New Reduced Price Ediiton - 13th - Edition for 2024 Exams and Increased Number of Pages (458 Pages) - [Original Copy Only - ENGLISH MEDIUM],-0.31799936400190604,-0.5445403403317234,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Power of Your Subconscious Mind: Original Edition | Premium Paperback,0.21199957600127228,-0.8130800464139265,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ikigai,0.7419985160044505,0.07757664542538058,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Don't Believe Everything You Think (English),0.21199957600127228,-0.6877615169088984,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PW Calculus Core Fear No More Calculus Book By Sachin Jakhar For JEE Main & Advanced l Integral & Differential Calculus,1.2719974560076337,0.5788507634454931,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
The Psychology of Money,0.7419985160044505,-0.25362232540933666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lucifer was Innocent: The Red Pill,-4.557990884027349,0.17156554255415168,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
"Conceptual Physics, 12e",0.21199957600127228,2.543666279613613,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
"MTG Objective NCERT at your FINGERTIPS Biology - NCERT Notes with HD Pages, Exam Archive & MCQs | Based on NMC NEET Rationalised Syllabus, NEET Books (Latest & Revised Edition 2024-2025",-0.31799936400190604,1.1830651021304501,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India [Hardcover] Wonder House Books,0.21199957600127228,-0.5892969580120906,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
BRAHMASTRA Complete Maths Multicolored Formula Book Second Edition BILINGUAL by Aditya Ranjan Sir,0.21199957600127228,-0.8086043846458898,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing) [Paperback] Wonder House Books,-0.31799936400190604,-1.0413387965837992,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Indian Polity for UPSC (English)|7th Edition|Civil Services Exam| State Administrative Exams,0.7419985160044505,1.8275603967277376,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Word Power Made Easy By Norman Lewis (More than 700 Pages),-0.31799936400190604,-1.0458144583518358,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mathematics class 10th and MCQs - by R.D. Sharma (2024-25 Examination),0.21199957600127228,0.4669592192445751,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
The Power of Your Subconscious Mind,0.21199957600127228,-0.8667879876303671,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"THE SILENT PATIENT [Paperback] Michaelides, Alex",0.21199957600127228,-0.37446519314632803,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
101 Copy Coloring: Fun Activity Book For Children [Paperback] Wonder House Books,0.21199957600127228,-0.8130800464139265,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
"Moral Story Books for Kids (Illustrated) - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 3 Years to 6 Years Old Children - Read Aloud to Infants, Toddlers (Set of 10 Books)",0.21199957600127228,-0.49530806088331947,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1001 Ultimate Brain Booster Activities for 4+ Years Old Kids |Enhance the Child Mind with Cognitive Excellence with Interactive Activity Book,0.7419985160044505,-0.1506821047444921,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty [Paperback] Sudha Murty",0.7419985160044505,-0.5892969580120906,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nta Ugc Net '24 Paper 1 By Kvs Madaan|Teaching And Research Aptitude Net/Set/Jrf|Includes 2023 Paper (2 Sets) & 23 Years Chapter Wise Solved Previous Year Questions|Includes 2600+ Questions,-1.3779972440082675,-0.0029852663992803717,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Rich Dad Poor Dad: 25th Anniversary Edition,0.21199957600127228,0.18499252785826184,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
"MINtile Sank Magic Practice Copybook, (4 Book + 10 Refill) Number Tracing Book for Preschoolers with Pen, Magic Calligraphy Copybook Set Practical Reusable Writing Tool Simple Hand Lettering",-2.4379951240146287,-0.9876308553673586,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Books for Kids - English Short Stories - Read Aloud to Infants, Toddlers",-0.31799936400190604,-0.7190911492851554,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write And Practice Capital Letters, Small Letters, Patterns and Numbers 1 to 10) [Paperback] Wonder House Books",-0.8479983040050891,-0.5892969580120906,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
"The Palace of Illusions: 10th Anniversary Edition [Paperback] Banerjee Divakaruni, Chitra",0.21199957600127228,-0.02827275538868773,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
